Class_Number,Class_Title_EN,Class_Title_TE,Key_Topics_EN,Key_Topics_TE,Instructions_EN,Instructions_TE,Tips_Tricks_EN,Tips_Tricks_TE,Uses_EN,Uses_TE
14,Ongoing Past Actions (Past Continuous - was/were),గతంలో జరుగుతున్న పనులు (Past Continuous - was/were),Using the Past Continuous Tense to talk about an action that was in progress at a specific time in the past. Structure: Subject + was/were + Verb(-ing form).,గతంలో ఒక నిర్దిష్ట సమయంలో జరుగుతూ ఉన్న పనిని చెప్పడానికి Past Continuous Tense వాడకం. నిర్మాణం: Subject + was/were + Verb(-ing form).,"Think about ""What was I doing at this time yesterday?"" and write sentences. (e.g., Yesterday at this time, I was watching TV. Last Sunday at 10 AM, we were travelling.)","""నిన్న ఈ సమయానికి నేను ఏమి చేస్తూ ఉన్నాను?"" అని ఆలోచించి వాక్యాలు రాయండి. (e.g., Yesterday at this time, I was watching TV. Last Sunday at 10 AM, we were travelling.)","This tense often comes with the Simple Past. When one action was happening and another action occurred. (e.g., I was watching TV *when the power went out*.) Focus on the use of 'When' and 'While'.","ఈ టెన్స్ తరచుగా Simple Pastతో కలిసి వస్తుంది. ఒక పని జరుగుతూ ఉండగా మరో పని జరిగినప్పుడు. (e.g., I was watching TV *when the power went out*.) 'When' మరియు 'While' వాడకంపై దృష్టి పెట్టండి.","To describe the background in a story (The birds were singing and the sun was shining...), to talk about two actions happening at the same time in the past (While I was studying, my brother was playing).","ఒక కథలో నేపథ్యాన్ని (background) వివరించడానికి (The birds were singing and the sun was shining...), గతంలో ఒకే సమయంలో జరుగుతున్న రెండు పనులను చెప్పడానికి (While I was studying, my brother was playing)."
15,Ongoing Future Actions (Future Continuous - shall be/will be),భవిష్యత్తులో జరుగుతున్న పనులు (Future Continuous - shall be/will be),Using the Future Continuous Tense to talk about an action that will be in progress at a specific time in the future. Structure: Subject + will be/shall be + Verb(-ing form).,భవిష్యత్తులో ఒక నిర్దిష్ట సమయంలో జరుగుతూ ఉండే పనిని చెప్పడానికి Future Continuous Tense వాడకం. నిర్మాణం: Subject + will be/shall be + Verb(-ing form).,"Imagine ""What will I be doing at this time tomorrow?"" and write sentences. (e.g., Tomorrow at this time, I will be travelling to my hometown. Don't call me at 9 PM, I will be sleeping.)","""రేపు ఈ సమయానికి నేను ఏమి చేస్తూ ఉంటాను?"" అని ఊహించి వాక్యాలు రాయండి. (e.g., Tomorrow at this time, I will be travelling to my hometown. Don't call me at 9 PM, I will be sleeping.)","This tense is also used to politely state that an action will definitely be in progress in the future, so one should not be disturbed at that time.","ఈ టెన్స్ భవిష్యత్తులో ఒక పని కచ్చితంగా జరుగుతూ ఉంటుందని, కాబట్టి ఆ సమయంలో అంతరాయం కలిగించవద్దని సున్నితంగా చెప్పడానికి కూడా వాడతారు.","To describe your plans at a specific time in the future (This time next week, I will be relaxing on the beach), or to make predictions about the future.","భవిష్యత్తులో ఒక నిర్దిష్ట సమయానికి మీ ప్రణాళికలను వివరించడానికి (This time next week, I will be relaxing on the beach), లేదా భవిష్యత్తు గురించి ఊహించి చెప్పడానికి."
16,Present Ability (Can),సామర్థ్యం (Present Ability - Can),Using 'Can' to express present ability ('can do') or skill. Structure: Subject + can + V1. It is the same for all subjects.,ప్రస్తుత సామర్థ్యాన్ని ('చేయగలను') లేదా నైపుణ్యాన్ని వ్యక్తం చేయడానికి 'Can' వాడకం. నిర్మాణం: Subject + can + V1. ఇది అన్ని సబ్జెక్టులకు ఒకే విధంగా ఉంటుంది.,"Write a list of five things you can do well. (e.g., I can speak two languages. I can cook well. I can drive a car.)","మీరు బాగా చేయగల ఐదు పనుల జాబితాను రాయండి. (e.g., I can speak two languages. I can cook well. I can drive a car.)","Can' is not just for ability. It is also used to ask for permission (Can I go?), to make a request (Can you help me?), and to state a possibility (It can rain today).","Can' అనేది కేవలం సామర్థ్యం కోసమే కాదు. అనుమతి కోరడానికి (Can I go?), అభ్యర్థించడానికి (Can you help me?), మరియు అవకాశం ఉందని చెప్పడానికి (It can rain today) కూడా వాడతారు.","To talk about your skills and abilities (I can solve this problem), and to ask for and give permission to do something.","మీ నైపుణ్యాలు మరియు సామర్థ్యాల గురించి చెప్పడానికి (I can solve this problem), ఒక పని చేయడానికి అనుమతి అడగటానికి మరియు ఇవ్వడానికి."
17,Past Ability (Could),గత సామర్థ్యం (Past Ability - Could),Using 'Could' to express past ability ('was able to do'). Structure: Subject + could + V1.,గతంలో ఉన్న సామర్థ్యాన్ని ('చేయగలిగాను') వ్యక్తం చేయడానికి 'Could' వాడకం. నిర్మాణం: Subject + could + V1.,"Write sentences about things you could do when you were a child but can't do now. (e.g., When I was young, I could climb trees. I could run very fast.)","మీరు చిన్నప్పుడు చేయగలిగి, ఇప్పుడు చేయలేని పనుల గురించి వాక్యాలు రాయండి. (e.g., When I was young, I could climb trees. I could run very fast.)","Could' is used to make more polite requests than 'Can'. (e.g., Could you please pass the salt?). Although it is the past tense of 'Can', it is also used in the present for politeness.","Could' అనేది 'Can' కన్నా ఎక్కువ మర్యాదపూర్వకంగా అభ్యర్థించడానికి వాడతారు. (e.g., Could you please pass the salt?). ఇది 'Can' యొక్క పాస్ట్ టెన్స్ అయినప్పటికీ, వర్తమానంలో కూడా మర్యాద కోసం వాడతారు.","To talk about past skills (I could swim when I was five), and to make very polite requests.","గతంలోని నైపుణ్యాల గురించి మాట్లాడటానికి (I could swim when I was five), మరియు చాలా మర్యాదపూర్వకంగా అభ్యర్థనలు చేయడానికి."
18,Possibility/Doubt (May / Might),అవకాశం/అనుమానం (Possibility - May / Might),May' or 'Might' are used to express uncertainty or possibility that an action may or may not happen ('might happen'). Structure: Subject + may/might + V1.,ఒక పని జరగవచ్చు లేదా జరగకపోవచ్చు అనే అనిశ్చితిని లేదా అవకాశాన్ని ('జరగవచ్చు') వ్యక్తం చేయడానికి 'May' లేదా 'Might' వాడతారు. నిర్మాణం: Subject + may/might + V1.,"Make some predictions about tomorrow. (e.g., It may rain tomorrow. My friend might call me.)","రేపటి గురించి కొన్ని అంచనాలు వేయండి. (e.g., It may rain tomorrow. My friend might call me.)","Might' suggests a lesser possibility than 'May'. (e.g., 'It may rain' - 50% chance; 'It might rain' - 30% chance). 'May' is used to formally ask for permission (May I come in, sir?).","Might' అనేది 'May' కన్నా తక్కువ అవకాశాన్ని సూచిస్తుంది. (e.g., 'It may rain' - 50% chance; 'It might rain' - 30% chance). అధికారికంగా అనుమతి కోరడానికి 'May' వాడతారు (May I come in, sir?).","For making future predictions like weather, expressing your opinion when you are not sure about something, and formally asking for permission.","వాతావరణం వంటి భవిష్యత్ అంచనాలు వేయడానికి, ఒక విషయం గురించి ఖచ్చితంగా తెలియనప్పుడు మీ అభిప్రాయం చెప్పడానికి, మరియు అధికారికంగా అనుమతి అడగటానికి."
19,Responsibility/Advice (Should),బాధ్యత/సలహా (Responsibility/Advice - Should),"Should' is used to say that doing something is a responsibility, a good thing to do, or to give advice ('should do'). Structure: Subject + should + V1.","ఒక పని చేయడం బాధ్యత అని, మంచిది అని, లేదా సలహా ఇవ్వడానికి ('చేయాలి') 'Should' వాడతారు. నిర్మాణం: Subject + should + V1.","Give some healthy advice to your friend. (e.g., You should eat healthy food. You should exercise daily. You shouldn't eat junk food.)","మీ స్నేహితుడికి కొన్ని ఆరోగ్యకరమైన సలహాలు ఇవ్వండి. (e.g., You should eat healthy food. You should exercise daily. You shouldn't eat junk food.)","Should' is not a strong command, just good advice or an opinion. It also indicates a moral responsibility (We should help the poor).","Should' అనేది ఒక బలమైన ఆజ్ఞ కాదు, కేవలం ఒక మంచి సలహా లేదా అభిప్రాయం మాత్రమే. ఇది నైతిక బాధ్యతను కూడా సూచిస్తుంది (We should help the poor).","For giving advice to others (You should see a doctor), expressing your opinion (I think the government should do something), and talking about things that need to be done.","ఇతరులకు సలహాలు ఇవ్వడానికి (You should see a doctor), మీ అభిప్రాయం చెప్పడానికి (I think the government should do something), మరియు చేయవలసిన పనుల గురించి మాట్లాడటానికి."
20,Obligation (Must),తప్పనిసరి విధి (Obligation - Must),"Must' is used to say that something must be done, that it is a rule or a strong necessity ('must do'). Structure: Subject + must + V1.","ఒక పని తప్పకుండా చేయాలి, అది ఒక నియమం లేదా బలమైన అవసరం అని చెప్పడానికి ('తప్పకుండా చేయాలి') 'Must' వాడతారు. నిర్మాణం: Subject + must + V1.","Write the rules to be followed in a library or hospital using 'must'. (e.g., You must be silent in the library. You must not smoke here.)","ఒక లైబ్రరీ లేదా ఆసుపత్రిలో పాటించాల్సిన నియమాలను 'must' ఉపయోగించి రాయండి. (e.g., You must be silent in the library. You must not smoke here.)",Must' is much stronger than 'should'. 'Must not' (mustn't) means that an action is strictly forbidden.,Must' అనేది 'should' కన్నా చాలా బలమైనది. 'Must not' (mustn't) అంటే ఒక పని ఖచ్చితంగా నిషిద్ధం అని అర్థం.,"To state rules, laws, and strong personal obligations (I must finish this work today), and when you strongly believe something is true (He is not answering; he must be busy).","నియమాలు, చట్టాలు, మరియు బలమైన వ్యక్తిగత బాధ్యతలను చెప్పడానికి (I must finish this work today), మరియు ఒక విషయం ఖచ్చితంగా నిజమని గట్టిగా నమ్మినప్పుడు (He is not answering; he must be busy)."
21,Past Habits (Would),గత అలవాట్లు (Past Habits - Would),Would' is used to talk about actions that were habitual in the past ('used to do'). Structure: Subject + would + V1.,గతంలో తరచుగా చేసే అలవాటుగా ఉన్న పనులను ('చేసేవాడిని') చెప్పడానికి 'Would' వాడతారు. నిర్మాణం: Subject + would + V1.,"Write about your childhood memories and the things you used to do then. (e.g., When I was a child, I would play in the rain. My grandmother would tell me stories.)","మీ చిన్ననాటి జ్ఞాపకాల గురించి, మీరు అప్పుడు చేసే పనుల గురించి రాయండి. (e.g., When I was a child, I would play in the rain. My grandmother would tell me stories.)","Would' cannot be used to talk about past 'states', only 'actions'. (e.g., I *used to* live in Delhi. is correct. I *would* live in Delhi. is incorrect). 'Would' is also used for polite requests (Would you please help me?).","Would' అనేది గతంలోని 'స్థితులను' (states) చెప్పడానికి వాడలేము, కేవలం 'పనులను' (actions) చెప్పడానికే వాడతాము. (e.g., I *used to* live in Delhi. సరైనది. I *would* live in Delhi. తప్పు). మర్యాదపూర్వక అభ్యర్థనలకు కూడా 'would' వాడతారు (Would you please help me?).","To recall sweet memories and habits from the past, and to make polite offers (Would you like some tea?) and requests.","గతంలోని మధుర జ్ఞాపకాలను, అలవాట్లను గుర్తు చేసుకోవడానికి, మరియు మర్యాదపూర్వకంగా ఆఫర్లు (Would you like some tea?) మరియు అభ్యర్థనలు చేయడానికి."
22,"One Verb, Many Sentences (Review)","ఒకే క్రియ, అనేక వాక్యాలు (One Verb, Many Sentences - Review)","Reviewing all the auxiliary verbs and tenses learned so far using a single verb (e.g., go). Noticing how the meaning changes with each structure.","ఇప్పటివరకు నేర్చుకున్న అన్ని సహాయక క్రియలు మరియు కాలాలను ఒకే క్రియ (e.g., go) ఉపయోగించి పునశ్చరణ చేయడం. ప్రతి నిర్మాణానికి అర్థంలో ఎలా తేడా వస్తుందో గమనించడం.","Take a new verb like 'write' or 'play' and create sentences in all 18 structures learned so far (I write, I wrote, I will write, I am writing, I can write, etc.).","write' లేదా 'play' వంటి కొత్త క్రియను తీసుకుని, దానితో ఇప్పటివరకు నేర్చుకున్న 18 రకాల వాక్యాలను (I write, I wrote, I will write, I am writing, I can write, etc.) తయారు చేయండి.",This exercise will solidify the specific use and meaning of each tense and modal verb in your mind. It is a very important review.,ఈ అభ్యాసం ప్రతి కాలం మరియు మోడల్ వెర్బ్ యొక్క ప్రత్యేక ఉపయోగాన్ని మరియు అర్థాన్ని మీ మనస్సులో స్థిరపరుస్తుంది. ఇది చాలా ముఖ్యమైన పునశ్చరణ.,To review all the grammatical structures you know in one place and to understand the subtle differences between them.,మీకు తెలిసిన వ్యాకరణ నిర్మాణాలన్నింటినీ ఒకే చోట సమీక్షించుకోవడానికి మరియు వాటి మధ్య ఉన్న సూక్ష్మమైన తేడాలను అర్థం చేసుకోవడానికి.
23,Present Possession (Have / Has),కలిగియుండుట (Present Possession - Have / Has),To say that you possess something in the present ('have'). Structure: 'I/We/You/They' + have + Noun; 'He/She/It' + has + Noun.,వర్తమానంలో ఏదైనా కలిగి ఉన్నామని చెప్పడానికి ('కలిగి ఉన్నాను'). నిర్మాణం: 'I/We/You/They' + have + Noun; 'He/She/It' + has + Noun.,Write a list of items in your bag or room using 'I have...'. Write about the items your friend has using 'He has...'.,మీ బ్యాగులో లేదా మీ గదిలో ఉన్న వస్తువుల జాబితాను 'I have...' ఉపయోగించి రాయండి. మీ స్నేహితుడి వద్ద ఉన్న వస్తువుల గురించి 'He has...' ఉపయోగించి రాయండి.,"Have/Has' is used not only for objects but also for relationships (I have a brother), illnesses (He has a fever), and features (She has long hair). It is also used to mean 'eat/drink' (I have my breakfast at 8 AM).","Have/Has' కేవలం వస్తువులకే కాదు, సంబంధాలు (I have a brother), అనారోగ్యాలు (He has a fever), మరియు లక్షణాలను (She has long hair) చెప్పడానికి కూడా వాడతారు. 'తినడం/త్రాగడం' అనే అర్థంలో కూడా వాడతారు (I have my breakfast at 8 AM).","To talk about your possessions, relationships, physical features, and experiences. Also to talk about daily meals, baths, etc.","మీ ఆస్తులు, సంబంధాలు, శారీరక లక్షణాలు, మరియు అనుభవాల గురించి మాట్లాడటానికి. అలాగే రోజువారీ భోజనం, స్నానం వంటి విషయాలను చెప్పడానికి."
24,Recent Past (Present Perfect with Have/Has),ఇటీవలి గతం (Recent Past - Present Perfect with Have/Has),To talk about actions that have recently happened and whose effect is still present. Structure: Subject + have/has + V3 (Past Participle).,"ఇటీవలే జరిగిపోయి, దాని ప్రభావం ఇంకా వర్తమానంలో ఉన్న పనులను చెప్పడానికి. నిర్మాణం: Subject + have/has + V3 (Past Participle).","Talk about some things you have done today. (e.g., I have finished my homework. I have eaten lunch.)","మీరు ఈరోజే చేసిన కొన్ని పనులను చెప్పండి. (e.g., I have finished my homework. I have eaten lunch.)","In this tense, you should not mention the exact time the action happened (yesterday, last week). It is common to use words like 'just', 'already', 'recently', 'yet'. The result of the action is important, not the time.","ఈ టెన్స్‌లో పని ఎప్పుడు జరిగిందనే కచ్చితమైన సమయం (yesterday, last week) చెప్పకూడదు. 'just', 'already', 'recently', 'yet' వంటి పదాలు వాడటం సాధారణం. పని యొక్క ఫలితం ముఖ్యం, సమయం కాదు.","To announce news (India has won the match), to talk about your life experiences (I have visited Delhi), or to report a just-completed action (He has just left).","వార్తలను ప్రకటించడానికి (India has won the match), మీ జీవిత అనుభవాలను చెప్పడానికి (I have visited Delhi), లేదా ఇప్పుడే పూర్తయిన పనిని తెలియజేయడానికి (He has just left)."
25,Two Past Actions (Past Perfect with Had),గతంలో రెండు పనులు (Two Past Actions - Past Perfect with Had),To clearly state which of two past actions happened first. The action that happened first should be in the Past Perfect (Subject + had + V3).,"గతంలో జరిగిన రెండు పనులలో, ఏది ముందు జరిగిందో స్పష్టంగా చెప్పడానికి. ముందు జరిగిన పనిని Past Perfect (Subject + had + V3) లో చెప్పాలి.","Write a sentence with two past events. (e.g., The train had left before I reached the station. After I had finished my work, I went home.)","రెండు గత సంఘటనలతో ఒక వాక్యం రాయండి. (e.g., The train had left before I reached the station. After I had finished my work, I went home.)","Remember: The action with 'had' + V3 is always the one that happened first. Words like 'before', 'after', 'when' often appear in this tense.","గుర్తుంచుకోండి: 'had' + V3 తో ఉన్న పని ఎల్లప్పుడూ మొదట జరిగిన పని. 'before', 'after', 'when' వంటి పదాలు ఈ టెన్స్‌లో తరచుగా కనిపిస్తాయి.",To clearly and correctly convey the sequence of events when telling stories or describing past incidents.,"కథలు చెప్పేటప్పుడు లేదా గత సంఘటనలను వివరించేటప్పుడు, సంఘటనల క్రమాన్ని స్పష్టంగా మరియు తప్పులు లేకుండా తెలియజేయడానికి."
26,Past in Future (Future Perfect with Shall have/Will have),భవిష్యత్తులో గతం (Past in Future - Future Perfect with Shall have/Will have),To say that an action will be completed by a specific time in the future. Structure: Subject + will have + V3.,భవిష్యత్తులో ఒక నిర్దిష్ట సమయానికి ఒక పని పూర్తయి ఉంటుందని చెప్పడానికి. నిర్మాణం: Subject + will have + V3.,"Imagine what you will have achieved by this time next year and write a sentence. (e.g., By next year, I will have completed my degree. By 2025, I will have bought a car.)","వచ్చే సంవత్సరం ఈ సమయానికి మీరు ఏమి సాధించి ఉంటారో ఊహించి రాయండి. (e.g., By next year, I will have completed my degree. By 2025, I will have bought a car.)","The word 'by' is very important in this tense. Phrases like 'by tomorrow', 'by next month', 'by the time you arrive' indicate it.","ఈ టెన్స్‌లో 'by' అనే పదం చాలా ముఖ్యం. 'by tomorrow', 'by next month', 'by the time you arrive' వంటి పదబంధాలు దీనిని సూచిస్తాయి.","To set deadlines for future goals, and to predict what will have happened by a certain time in the future.","భవిష్యత్తు లక్ష్యాలకు గడువు (deadline) నిర్దేశించుకోవడానికి, మరియు భవిష్యత్తులో ఒక సమయానికి ఏమి జరిగి ఉంటుందో అంచనా వేయడానికి."
27,Past Responsibility/Assumption (Should have / Must have),గతంలో బాధ్యత/అంచనా (Should have / Must have),Should have + V3': To express regret or criticism that something should have been done in the past but wasn't. 'Must have + V3': To make a strong assumption that something definitely happened in the past.,"Should have + V3': గతంలో ఒక పని చేసి ఉండాల్సింది, కానీ చేయలేదు అని విచారం లేదా విమర్శ వ్యక్తం చేయడానికి. 'Must have + V3': గతంలో ఒక పని ఖచ్చితంగా జరిగి ఉంటుందని బలంగా అంచనా వేయడానికి.","Express a regret (I should have studied harder). A friend didn't come to the party, guess the reason (He must have been sick).","ఒక విచారం వ్యక్తం చేయండి (I should have studied harder). ఒక స్నేహితుడు పార్టీకి రాలేదు, కారణం ఊహించండి (He must have been sick).",Should have' always indicates a regret or advice. 'Must have' is a logical deduction based on evidence (The ground is wet. It must have rained).,Should have' ఎల్లప్పుడూ ఒక విచారం లేదా సలహాను సూచిస్తుంది. 'Must have' అనేది సాక్ష్యం ఆధారంగా వేసే ఒక తార్కిక అంచనా (The ground is wet. It must have rained).,"To express regret for past mistakes, to criticize others' actions, and to make strong, logical assumptions about the past.","గతంలో చేసిన తప్పులకు విచారం వ్యక్తం చేయడానికి, ఇతరుల పనులను విమర్శించడానికి, మరియు గతం గురించి బలమైన, తార్కిక అంచనాలు వేయడానికి."
28,"Past Possibilities/Hypotheticals (May have, Might have, Would have, Could have)","గతంలో అవకాశాలు/ఊహలు (May have, Might have, Would have, Could have)",May/Might have + V3': Possibility that something happened in the past. 'Could have + V3': An action that was possible but not done. 'Would have + V3': To talk about an unreal hypothetical past (with an if clause).,May/Might have + V3': గతంలో జరిగి ఉండవచ్చు అనే అవకాశం. 'Could have + V3': చేయగలిగే అవకాశం ఉండి కూడా చేయని పని. 'Would have + V3': జరగని ఒక ఊహాజనిత గతం గురించి చెప్పడానికి (if clauseతో).,"Write an example for each: He may have forgotten. (He might have forgotten). I could have won. (I could have won). If you had called me, I would have come. (If you had called me, I would have come).","ప్రతిదానికి ఒక ఉదాహరణ రాయండి: He may have forgotten. (మర్చిపోయి ఉండొచ్చు). I could have won. (గెలవగలిగి ఉండేవాడిని). If you had called me, I would have come. (నువ్వు ఫోన్ చేసి ఉంటే, నేను వచ్చి ఉండేవాడిని).",Could have' indicates a missed opportunity. 'Would have' is always a conditional imagination.,Could have' ఒక కోల్పోయిన అవకాశాన్ని సూచిస్తుంది. 'Would have' అనేది ఎల్లప్పుడూ ఒక షరతుతో కూడిన ఊహ (conditional imagination).,"To speculate about past events, to talk about missed opportunities, and to imagine and talk about an unreal past.","గత సంఘటనల గురించి ఊహాగానాలు చేయడానికి, కోల్పోయిన అవకాశాల గురించి మాట్లాడటానికి, మరియు జరగని గతం గురించి ఊహించుకుని మాట్లాడటానికి."
